mean_microseconds,tflops,index,tag,name,B,M,N,K1,K2,arithmetic_intensity,dtype,ok
306.5515160560608,448.3388477089305,164,llm,attention_32x4096x64x64x4096xf8E4M3FNUZ,32,4096,64,64,4096,4096.0,fp8,True
510.7406973838806,538.1946423145471,165,llm,attention_32x4096x128x128x4096xf8E4M3FNUZ,32,4096,128,128,4096,4096.0,fp8,True
1068.6731338500977,514.4284032924083,166,llm,attention_32x8192x64x64x8192xf8E4M3FNUZ,32,8192,64,64,8192,8192.0,fp8,True
1834.5849514007568,599.3244558865983,167,llm,attention_32x8192x128x128x8192xf8E4M3FNUZ,32,8192,128,128,8192,8192.0,fp8,True
4208.08744430542,522.5707128609746,168,llm,attention_32x16384x64x64x16384xf8E4M3FNUZ,32,16384,64,64,16384,16384.0,fp8,True
7229.678630828857,608.3322282611308,169,llm,attention_32x16384x128x128x16384xf8E4M3FNUZ,32,16384,128,128,16384,16384.0,fp8,True
52.642546594142914,244.7621310446557,170,llm,attention_48x1024x64x64x1024xf8E4M3FNUZ,48,1024,64,64,1024,1024.0,fp8,True
80.36385476589203,320.66410765225265,171,llm,attention_48x1024x128x128x1024xf8E4M3FNUZ,48,1024,128,128,1024,1024.0,fp8,True
133.8386833667755,385.0875266813506,172,llm,attention_48x2048x64x64x2048xf8E4M3FNUZ,48,2048,64,64,2048,2048.0,fp8,True
228.2077968120575,451.69015495509905,173,llm,attention_48x2048x128x128x2048xf8E4M3FNUZ,48,2048,128,128,2048,2048.0,fp8,True
443.77049803733826,464.56091858241126,174,llm,attention_48x4096x64x64x4096xf8E4M3FNUZ,48,4096,64,64,4096,4096.0,fp8,True
774.4256258010864,532.4163440349595,175,llm,attention_48x4096x128x128x4096xf8E4M3FNUZ,48,4096,128,128,4096,4096.0,fp8,True
1627.3430585861206,506.73625114329855,176,llm,attention_48x8192x64x64x8192xf8E4M3FNUZ,48,8192,64,64,8192,8192.0,fp8,True
2812.910795211792,586.3205631943341,177,llm,attention_48x8192x128x128x8192xf8E4M3FNUZ,48,8192,128,128,8192,8192.0,fp8,True
6357.5439453125,518.8379210119425,178,llm,attention_48x16384x64x64x16384xf8E4M3FNUZ,48,16384,64,64,16384,16384.0,fp8,True
